,num_expediente,fecha,hora,localizacion,numero,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
1315,2020S009432,06/07/2020,18:10:00,"CALL. GONZALO DE CESPEDES, 7",7,BARAJAS,Choque contra obstáculo fijo,Clear,Bicicleta,Conductor,De 21 a 24 años,Hombre,14.0,40.47156395437375,-3.5802870602369286,N,
1316,2020S009453,07/07/2020,9:39:00,CALL. SANTA ENGRACIA / CALL. NICASIO GALLEGO,13,CHAMBERÍ,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 40 a 44 años,Mujer,1.0,40.42985488630142,-3.6967342420945712,N,
1317,2020S009494,05/07/2020,11:05:00,"CTRA. SOMOSAGUAS, 0",0,MONCLOA-ARAVACA,Caída,Clear,Bicicleta,Conductor,Más de 74 años,Hombre,6.0,40.41568796092361,-3.7532871265731917,N,
1318,2020S009495,07/07/2020,23:15:00,"PASEO. VIRGEN DEL PUERTO, 45",45,ARGANZUELA,Caída,Clear,Bicicleta,Conductor,De 35 a 39 años,Hombre,7.0,40.40938984801225,-3.7210400478774117,N,
1319,2020S009498,07/07/2020,23:40:00,"PASEO. PRADO, 11",11,RETIRO,Alcance,Clear,Bicicleta EPAC (pedaleo asistido),Conductor,De 60 a 64 años,Mujer,,40.413747507404835,-3.6925108303178193,N,
1320,2020S009561,06/07/2020,22:30:00,CALL. PEZ VOLADOR / CALL. CRUZ DEL SUR,5,RETIRO,Caída,Clear,Bicicleta,Conductor,De 35 a 39 años,Hombre,7.0,40.41300249635353,-3.6688154172491796,N,
1321,2020S009567,08/07/2020,8:00:00,CALL. CASTILLO DE CANDANCHU / CALL. PUENTE LA REINA,40,FUENCARRAL-EL PARDO,Colisión lateral,Clear,Bicicleta,Conductor,De 60 a 64 años,Hombre,7.0,40.503267240914404,-3.6782618884530347,N,
1322,2020S009573,09/07/2020,9:25:00,AVDA. MIGUEL HERNANDEZ / CALL. ANDALUCES,48,PUENTE DE VALLECAS,Caída,,Bicicleta,Conductor,De 60 a 64 años,Hombre,,40.38850865419774,-3.635010469477724,N,
1323,2020S009581,09/07/2020,15:45:00,"AVDA. COMPLUTENSE, 6",6,MONCLOA-ARAVACA,Caída,Clear,Bicicleta,Conductor,De 45 a 49 años,Hombre,5.0,40.44353716531458,-3.726985427734412,N,
1324,2020S009619,10/07/2020,8:14:00,AVDA. LOS ROSALES / PQUE. LINEAL DEL MANZANARES,103,VILLAVERDE,Caída,Clear,Bicicleta,Conductor,De 65 a 69 años,Hombre,7.0,40.35537158654724,-3.680604726657737,N,
1325,2020S009624,10/07/2020,6:35:00,"CALL. MODESTO LAFUENTE, 60",60,CHAMBERÍ,Colisión fronto-lateral,Clear,Bicicleta,Conductor,De 30 a 34 años,Hombre,14.0,40.44356050903711,-3.6957420895733324,N,
1326,2020S009635,07/07/2020,21:20:00,"AVDA. SECUNDINO ZUAZO, 4",4,HORTALEZA,Colisión frontal,Clear,Bicicleta,Conductor,De 10 a 14 años,Hombre,14.0,40.49518009778343,-3.6233270485854194,N,
1327,2020S009635,07/07/2020,21:20:00,"AVDA. SECUNDINO ZUAZO, 4",4,HORTALEZA,Colisión frontal,Clear,Bicicleta,Conductor,De 40 a 44 años,Mujer,2.0,40.49518009778343,-3.6233270485854194,N,
